annotation,gene,Cluster,Presence
CD4_T_Act_NR4A1,IER2,CD4,Yes
CD4_T_Act_NR4A1,ZFAND2A,CD4,Yes
CD4_T_Act_NR4A1,CD69,CD4,Yes
CD4_T_Act_NR4A1,KLF6,CD4,Yes
CD4_T_Act_NR4A1,RGS2,CD4,Yes
CD4_T_Act_NR4A1,GZMK,CD4,Yes
CD4_T_Act_NR4A1,BAG3,CD4,Yes
CD4_T_Act_NR4A1,CACYBP,CD4,Yes
CD4_T_Act_NR4A1,DNAJB4,CD4,Yes
CD4_T_Act_NR4A1,RHOB,CD4,Yes
CD4_T_Act_NR4A1,BTG1,CD4,Yes
CD4_T_Act_NR4A1,ANKRD37,CD4,Yes
CD4_T_Act_NR4A1,ATF3,CD4,Yes
CD4_T_Act_NR4A1,GADD45B,CD4,Yes
CD4_T_Act_NR4A1,TNF,CD4,Yes
CD4_T_Act_NR4A1,CXCR4,CD4,Yes
CD4_T_Act_NR4A1,ZFP36,CD4,Yes
CD4_T_Act_NR4A1,NR4A2,CD4,Yes
CD4_T_Act_NR4A1,H3F3B,CD4,Yes
CD4_T_Act_NR4A1,GZMA,CD4,Yes
CD4_T_Act_NR4A1,TSPYL2,CD4,Yes
CD4_T_Act_NR4A1,ANXA1,CD4,Yes
CD4_T_Act_NR4A1,SLC2A3,CD4,Yes
CD4_T_Act_NR4A1,NFKBIA,CD4,No
CD4_T_Act_NR4A1,SRSF7,CD4,No
CD4_T_Act_NR4A1,TNFAIP3,CD4,Yes
CD4_T_Act_NR4A1,ID2,CD4,Yes
CD4_T_Act_NR4A1,SAT1,CD4,Yes
CD4_T_Act_NR4A1,TUBA1A,CD4,Yes
CD4_T_Act_NR4A1,KLRB1,CD4,Yes
CD4_T_Act_NR4A1,KLF2,CD4,Yes
CD4_T_EM,S100A4,CD4,Yes
CD4_T_EM,LTB,CD4,Yes
CD4_T_EM,EMP3,CD4,Yes
CD4_T_EM,CD52,CD4,Yes
CD4_T_EM,S100A11,CD4,Yes
CD4_T_EM,PFN1,CD4,Yes
CD4_T_EM,S100A10,CD4,Yes
CD4_T_EM,IFITM1,CD4,Yes
CD4_T_EM,SH3BGRL3,CD4,Yes
CD4_T_EM,ARPC1B,CD4,No
CD4_T_EM,S100A6,CD4,No
CD4_T_EM,CRIP1,CD4,No
CD4_T_EM,ITGB1,CD4,Yes
CD4_T_EM,AHNAK,CD4,Yes
CD4_T_EM,ACTG1,CD4,Yes
CD4_T_EM,TAGLN2,CD4,Yes
CD4_T_EM,LGALS1,CD4,Yes
CD4_T_INF_response,MX1,CD4,Yes
CD4_T_INF_response,OAS1,CD4,Yes
CD4_T_INF_response,IFI44L,CD4,Yes
CD4_T_INF_response,IFIT3,CD4,Yes
CD4_T_INF_response,IFIT1,CD4,Yes
CD4_T_INF_response,RSAD2,CD4,Yes
CD4_T_INF_response,IFI6,CD4,Yes
CD4_T_INF_response,OAS3,CD4,Yes
CD4_T_INF_response,HERC5,CD4,Yes
CD4_T_INF_response,CMPK2,CD4,Yes
CD4_T_INF_response,ISG15,CD4,Yes
CD4_T_INF_response,IRF7,CD4,No
CD4_T_INF_response,XAF1,CD4,Yes
CD4_T_INF_response,MX2,CD4,Yes
CD4_T_INF_response,EIF2AK2,CD4,Yes
CD4_T_INF_response,IFIT2,CD4,Yes
CD4_T_INF_response,LY6E,CD4,No
CD4_T_INF_response,EPSTI1,CD4,Yes
CD4_T_INF_response,LGALS9,CD4,Yes
CD4_T_INF_response,OASL,CD4,Yes
CD4_T_INF_response,STAT1,CD4,Yes
CD4_T_INF_response,IFITM1,CD4,Yes
CD4_T_INF_response,IFI35,CD4,Yes
CD4_T_INF_response,HELZ2,CD4,No
CD4_T_INF_response,IFI44,CD4,Yes
CD4_T_INF_response,OAS2,CD4,Yes
CD4_T_INF_response,PLSCR1,CD4,Yes
CD4_T_INF_response,SAMD9L,CD4,Yes
CD4_T_INF_response,DDX60,CD4,Yes
CD4_T_INF_response,SAMD9,CD4,Yes
CD4_T_INF_response,MT2A,CD4,No
CD4_T_INF_response,ISG20,CD4,Yes
CD4_T_INF_response,DDX60L,CD4,Yes
CD4_T_INF_response,UBE2L6,CD4,Yes
CD4_T_INF_response,TRIM22,CD4,Yes
CD4_T_INF_response,GBP1,CD4,Yes
CD4_T_INF_response,PARP9,CD4,Yes
CD4_T_INF_response,BST2,CD4,Yes
CD4_T_INF_response,C19orf66,CD4,Yes
CD4_T_INF_response,DDX58,CD4,Yes
CD4_T_INF_response,LAP3,CD4,Yes
CD4_T_INF_response,PHF11,CD4,Yes
CD4_T_INF_response,SP100,CD4,Yes
CD4_T_INF_response,TAP1,CD4,Yes
CD4_T_INF_response,ADAR,CD4,Yes
CD4_T_INF_response,IFI16,CD4,No
CD4_T_INF_response,RNF213,CD4,Yes
CD4_T_INF_response,DRAP1,CD4,Yes
CD4_T_INF_response,PPM1K,CD4,Yes
CD4_T_INF_response,GBP4,CD4,Yes
CD4_T_INF_response,SP110,CD4,Yes
CD4_T_INF_response,PSMB9,CD4,Yes
CD4_T_INF_response,SHISA5,CD4,Yes
CD4_T_INF_response,PSME2,CD4,Yes
CD4_T_INF_response,IFITM2,CD4,Yes
CD4_T_INF_response,GBP5,CD4,No
CD4_T_INF_response,GIMAP4,CD4,Yes
CD4_T_INF_response,CCR7,CD4,Yes
CD4_T_INF_response,SAT1,CD4,Yes
CD4_T_INF_response,SELL,CD4,Yes
CD4_T_INF_response,IRF1,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPL41,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,FHIT,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPL9,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,TCF7,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,ACTN1,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPS3A,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,LDLRAP1,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPL21,CD4,No
CD4_T_Naïve_CM_patient_specific.1,RPL39L,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,CCR7,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,MT-ATP6,CD4,No
CD4_T_Naïve_CM_patient_specific.1,EEF1A1,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,SELL,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,NOSIP,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPS13,CD4,No
CD4_T_Naïve_CM_patient_specific.1,RPS14,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPL32,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,PABPC1,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,LEF1,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPL5,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPS5,CD4,No
CD4_T_Naïve_CM_patient_specific.1,RPS23,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPL19,CD4,No
CD4_T_Naïve_CM_patient_specific.1,MYC,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,EEF1B2,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPS8,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,PCBP2,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPS4X,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPL30,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPL11,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,MT-ND4,CD4,No
CD4_T_Naïve_CM_patient_specific.1,PCBP1,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,RPL22,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,CDC25B,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,LINC00861,CD4,No
CD4_T_Naïve_CM_patient_specific.1,EEF2,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,LDHB,CD4,No
CD4_T_Naïve_CM_patient_specific.1,GIMAP7,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,AES,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,GLTSCR2,CD4,Yes
CD4_T_Naïve_CM_patient_specific.1,LIMD2,CD4,Yes
CD4_Treg,CD74,CD4,Yes
CD4_Treg,IL32,CD4,Yes
CD4_Treg,FOXP3,CD4,Yes
CD4_Treg,CTSC,CD4,Yes
CD4_Treg,HLA-DRB1,CD4,No
CD4_Treg,CTLA4,CD4,Yes
CD4_Treg,TNFRSF18,CD4,Yes
CD4_Treg,TNFRSF4,CD4,Yes
CD4_Treg,SAT1,CD4,Yes
CD4_Treg,BATF,CD4,Yes
CD4_Treg,TIGIT,CD4,Yes
CD4_Treg,CARD16,CD4,Yes
CD4_Treg,GAPDH,CD4,Yes
CD4_Treg,HLA-A,CD4,No
CD4_Treg,RGS1,CD4,Yes
CD4_Treg,TNFRSF1B,CD4,Yes
CD4_Treg,ACTB,CD4,Yes
CD4_Treg,HLA-DPA1,CD4,Yes
CD4_Treg,TBC1D4,CD4,Yes
CD4_Treg,CD27,CD4,Yes
CD4_Treg,DUSP4,CD4,Yes
CD4_Treg,GBP5,CD4,No
CD4_Treg,S100A4,CD4,Yes
CD4_Treg,MIR4435-2HG,CD4,No
CD4_Treg,PMAIP1,CD4,Yes
CD4_Treg,CORO1B,CD4,Yes
CD4_Treg,CLIC1,CD4,Yes
CD4_Treg,SRGN,CD4,Yes
CD4_Treg,HLA-DPB1,CD4,Yes
CD4_Treg,LINC00152,CD4,No
CD4_Treg,HLA-B,CD4,No
CD4_Treg,HLA-DQA1,CD4,No
CD4_Treg,LSP1,CD4,Yes
CD4_Treg,GBP2,CD4,Yes
CD4_Treg,PFN1,CD4,Yes
CD4_Treg,HLA-DRA,CD4,Yes
CD4_Treg,UCP2,CD4,Yes
CD4_Treg,IKZF2,CD4,Yes
CD4_Treg,UGP2,CD4,Yes
CD4_Treg,HLA-DQB1,CD4,No
CD4_Treg,TNFRSF9,CD4,Yes
CD4_Treg,DNPH1,CD4,No
CD4_Treg,OAZ1,CD4,Yes
CD4_Treg,HLA-DRB5,CD4,Yes
CD4_Treg,MYL6,CD4,Yes
CD4_Treg,IL2RG,CD4,Yes
CD4_Treg,PHLDA1,CD4,Yes
CD4_Treg,ARPC1B,CD4,No
CD4_Treg,PRDM1,CD4,Yes
CD4_Treg,AC133644.2,CD4,No
CD4_Treg,TTN,CD4,Yes
CD4_Treg,SLAMF1,CD4,Yes
CD4_Treg,IL2RA,CD4,Yes
CD4_Treg,B2M,CD4,No
CD4_Treg,ARID5B,CD4,Yes
CD4_Treg,BTG3,CD4,Yes
CD4_Treg,LAIR2,CD4,No
CD4_Treg,RTKN2,CD4,No
CD4_Treg,HLA-C,CD4,No
CD4_Treg,SIRPG,CD4,Yes
CD4_Treg,STAM,CD4,Yes
CD4_Treg,PARK7,CD4,Yes
CD4_Treg,LAYN,CD4,Yes
CD4_Treg,CCR8,CD4,Yes
CD4_Treg,ZBTB38,CD4,Yes
CD4_Treg,SKAP1,CD4,Yes
CD4_Treg,ICOS,CD4,Yes
CD4_Treg,ENTPD1,CD4,Yes
CD4_Treg,ATP5E,CD4,Yes
CD4_Treg,FAM129A,CD4,Yes
CD4_Treg,ACP5,CD4,Yes
CD4_Treg,PHTF2,CD4,Yes
CD4_Treg,IQGAP1,CD4,Yes
CD4_Treg,UBC,CD4,Yes
CD4_Treg,SLA,CD4,Yes
CD4_Treg,MALAT1,CD4,No
CD4_Treg,CFL1,CD4,Yes
CD4_Treg,SAMSN1,CD4,Yes
CD4_Treg,ARHGDIB,CD4,Yes
CD4_Treg,ARPC2,CD4,Yes
CD4_Treg,ACTG1,CD4,Yes
CD4_Treg,EZR,CD4,Yes
CD4_Treg,ISG20,CD4,Yes
CD4_Treg,HERPUD1,CD4,Yes
CD4_Treg,PTPRC,CD4,No
CD4_Treg,HSPA1A,CD4,No
CD4_Treg,CD2,CD4,Yes
CD4_Treg,PKM,CD4,No
CD4_Treg,RPS27L,CD4,No
CD4_Treg,SPOCK2,CD4,Yes
CD4_Treg,STK17B,CD4,Yes
CD4_Treg,SOD1,CD4,No
CD4_Treg,RNF213,CD4,Yes
CD4_Treg,ENO1,CD4,Yes
CD4_Treg,MT2A,CD4,No
CD4_Treg,ZFP36L1,CD4,Yes
CD4_Treg,CD7,CD4,Yes
CD4_Treg,TRBC2,CD4,No
CD4_Treg,HSPE1,CD4,Yes
CD4_Treg,TRBV20-1,CD4,No
ClassicalMono.1,S100A8,Myeloid,Yes
ClassicalMono.1,S100A12,Myeloid,Yes
ClassicalMono.1,S100A9,Myeloid,Yes
ClassicalMono.1,PLBD1,Myeloid,No
ClassicalMono.1,S100A6,Myeloid,No
ClassicalMono.1,VCAN,Myeloid,Yes
ClassicalMono.1,TSPO,Myeloid,Yes
ClassicalMono.1,S100A4,Myeloid,Yes
ClassicalMono.1,GAPDH,Myeloid,Yes
ClassicalMono.1,CDA,Myeloid,Yes
ClassicalMono.1,RBP7,Myeloid,Yes
ClassicalMono.1,MCEMP1,Myeloid,No
ClassicalMono.1,PADI4,Myeloid,Yes
ClassicalMono.1,44256,Myeloid,No
ClassicalMono.1,CYP1B1,Myeloid,Yes
ClassicalMono.1,FOLR3,Myeloid,Yes
ClassicalMono.1,LYZ,Myeloid,Yes
ClassicalMono.1,SELL,Myeloid,Yes
ClassicalMono.1,FCN1,Myeloid,Yes
ClassicalMono.1,DYSF,Myeloid,Yes
ClassicalMono.1,MNDA,Myeloid,No
ClassicalMono.1,TALDO1,Myeloid,Yes
ClassicalMono.1,CLU,Myeloid,Yes
ClassicalMono.1,H3F3A,Myeloid,No
ClassicalMono.1,NFE2,Myeloid,Yes
ClassicalMono.1,PGD,Myeloid,Yes
ClassicalMono.1,EMB,Myeloid,No
ClassicalMono.1,CSTA,Myeloid,Yes
ClassicalMono.1,SERPINB1,Myeloid,Yes
ClassicalMono.1,MEGF9,Myeloid,Yes
ClassicalMono.1,CR1,Myeloid,Yes
ClassicalMono.1,RETN,Myeloid,No
ClassicalMono.1,MSRB1,Myeloid,No
ClassicalMono.1,METTL9,Myeloid,Yes
ClassicalMono.1,OAZ1,Myeloid,Yes
ClassicalMono.1,NCF1,Myeloid,No
ClassicalMono.1,ITGAM,Myeloid,Yes
ClassicalMono.1,ARPC1B,Myeloid,No
ClassicalMono.1,SH3BGRL3,Myeloid,Yes
ClassicalMono.1,GCA,Myeloid,Yes
ClassicalMono.1,RPLP1,Myeloid,Yes
ClassicalMono.1,CD36,Myeloid,Yes
ClassicalMono.1,TCEB2,Myeloid,Yes
ClassicalMono.1,VIM,Myeloid,Yes
ClassicalMono.1,RAB27A,Myeloid,Yes
ClassicalMono.1,MGST1,Myeloid,Yes
ClassicalMono.1,ALDOA,Myeloid,Yes
ClassicalMono.1,AGTRAP,Myeloid,Yes
ClassicalMono.1,PKM,Myeloid,No
ClassicalMono.1,SERF2,Myeloid,Yes
ClassicalMono.1,STXBP2,Myeloid,Yes
ClassicalMono.1,PLP2,Myeloid,Yes
ClassicalMono.1,ATP5E,Myeloid,Yes
ClassicalMono.1,APLP2,Myeloid,Yes
ClassicalMono.1,HMGB2,Myeloid,Yes
ClassicalMono.1,RPL39,Myeloid,Yes
ClassicalMono.1,MYL6,Myeloid,Yes
ClassicalMono.1,IL17RA,Myeloid,Yes
ClassicalMono.1,BST1,Myeloid,Yes
ClassicalMono.1,ICAM3,Myeloid,Yes
ClassicalMono.1,CDC42EP3,Myeloid,Yes
ClassicalMono.1,ANPEP,Myeloid,Yes
ClassicalMono.1,FAM200B,Myeloid,No
ClassicalMono.1,FAU,Myeloid,No
ClassicalMono.1,TKT,Myeloid,No
ClassicalMono.1,FBXL5,Myeloid,Yes
ClassicalMono.1,LGALS1,Myeloid,Yes
ClassicalMono.1,RPLP2,Myeloid,Yes
ClassicalMono.1,HEBP2,Myeloid,Yes
ClassicalMono.1,RPS13,Myeloid,No
ClassicalMono.1,GMFG,Myeloid,No
ClassicalMono.1,COX4I1,Myeloid,Yes
ClassicalMono.1,RPS7,Myeloid,Yes
ClassicalMono.1,NDUFB9,Myeloid,Yes
ClassicalMono.1,IGF2R,Myeloid,Yes
ClassicalMono.1,PGAM1,Myeloid,No
ClassicalMono.1,RPL6,Myeloid,Yes
ClassicalMono.1,RCSD1,Myeloid,Yes
ClassicalMono.1,GLIPR2,Myeloid,Yes
ClassicalMono.1,MYO1F,Myeloid,Yes
ClassicalMono.1,CAST,Myeloid,Yes
ClassicalMono.1,FPR1,Myeloid,Yes
ClassicalMono.1,EEF1D,Myeloid,No
ClassicalMono.1,CSF3R,Myeloid,Yes
ClassicalMono.1,MYH9,Myeloid,Yes
ClassicalMono.1,SLC11A1,Myeloid,Yes
ClassicalMono.1,GLRX,Myeloid,Yes
ClassicalMono.1,UQCR11,Myeloid,No
ClassicalMono.1,ITGB2,Myeloid,Yes
ClassicalMono.1,RPS26,Myeloid,Yes
ClassicalMono.1,C4orf48,Myeloid,Yes
ClassicalMono.1,NCF2,Myeloid,Yes
ClassicalMono.1,SMCHD1,Myeloid,Yes
ClassicalMono.1,TLN1,Myeloid,Yes
ClassicalMono.1,BRI3,Myeloid,Yes
ClassicalMono.1,C14orf2,Myeloid,Yes
ClassicalMono.1,ANXA1,Myeloid,Yes
ClassicalMono.1,TPM3,Myeloid,Yes
ClassicalMono.1,LCP1,Myeloid,Yes
ClassicalMono.1,LAMTOR1,Myeloid,No
ClassicalMono.2,S100A9,Myeloid,Yes
ClassicalMono.2,S100A8,Myeloid,Yes
ClassicalMono.2,VCAN,Myeloid,Yes
ClassicalMono.2,S100A12,Myeloid,Yes
ClassicalMono.2,LYZ,Myeloid,Yes
ClassicalMono.2,FCN1,Myeloid,Yes
ClassicalMono.2,PLBD1,Myeloid,No
ClassicalMono.2,AHNAK,Myeloid,Yes
ClassicalMono.2,MNDA,Myeloid,No
ClassicalMono.2,APLP2,Myeloid,Yes
ClassicalMono.2,TSPO,Myeloid,Yes
ClassicalMono.2,CD36,Myeloid,Yes
ClassicalMono.2,S100A6,Myeloid,No
ClassicalMono.2,TKT,Myeloid,No
ClassicalMono.2,TALDO1,Myeloid,Yes
ClassicalMono.2,NCF1,Myeloid,No
ClassicalMono.2,CSF3R,Myeloid,Yes
ClassicalMono.2,PGD,Myeloid,Yes
ClassicalMono.2,SELL,Myeloid,Yes
ClassicalMono.2,S100A4,Myeloid,Yes
ClassicalMono.2,CD14,Myeloid,Yes
ClassicalMono.2,CYP1B1,Myeloid,Yes
ClassicalMono.2,CDA,Myeloid,Yes
ClassicalMono.2,MEGF9,Myeloid,Yes
ClassicalMono.2,GAPDH,Myeloid,Yes
ClassicalMono.2,CTSS,Myeloid,Yes
ClassicalMono.2,METTL9,Myeloid,Yes
ClassicalMono.2,NCF2,Myeloid,Yes
ClassicalMono.2,CSTA,Myeloid,Yes
ClassicalMono.2,IL17RA,Myeloid,Yes
ClassicalMono.2,CD44,Myeloid,Yes
ClassicalMono.2,VIM,Myeloid,Yes
ClassicalMono.2,ANXA1,Myeloid,Yes
ClassicalMono.2,ITGB2,Myeloid,Yes
ClassicalMono.2,AGTRAP,Myeloid,Yes
ClassicalMono.2,FOLR3,Myeloid,Yes
ClassicalMono.2,PLP2,Myeloid,Yes
ClassicalMono.2,LRP1,Myeloid,Yes
ClassicalMono.2,FLNA,Myeloid,Yes
ClassicalMono.2,MYO1F,Myeloid,Yes
ClassicalMono.2,SERPINB1,Myeloid,Yes
ClassicalMono.2,LGALS1,Myeloid,Yes
ClassicalMono.2,FBXL5,Myeloid,Yes
ClassicalMono.2,CAST,Myeloid,Yes
ClassicalMono.2,RP11-1143G9.4,Myeloid,No
ClassicalMono.2,RPS9,Myeloid,Yes
ClassicalMono.2,MPEG1,Myeloid,Yes
ClassicalMono.2,GCA,Myeloid,Yes
ClassicalMono.2,ITGAM,Myeloid,Yes
ClassicalMono.2,BLVRB,Myeloid,Yes
ClassicalMono.2,FPR1,Myeloid,Yes
ClassicalMono.2,JAML,Myeloid,No
ClassicalMono.2,ALDOA,Myeloid,Yes
ClassicalMono.2,NAIP,Myeloid,No
ClassicalMono.2,NFE2,Myeloid,Yes
ClassicalMono.2,ASGR1,Myeloid,Yes
ClassicalMono.2,H3F3A,Myeloid,No
ClassicalMono.2,NUP214,Myeloid,No
ClassicalMono.2,CFP,Myeloid,No
ClassicalMono.2,CCDC69,Myeloid,Yes
ClassicalMono.2,RBP7,Myeloid,Yes
ClassicalMono.2,PLEC,Myeloid,No
ClassicalMono.2,GLIPR2,Myeloid,Yes
ClassicalMono.2,MGST1,Myeloid,Yes
ClassicalMono.2,LRRK2,Myeloid,Yes
ClassicalMono.2,MSRB1,Myeloid,No
ClassicalMono.2,TPT1,Myeloid,Yes
ClassicalMono.2,GAS7,Myeloid,Yes
ClassicalMono.2,BST1,Myeloid,Yes
ClassicalMono.2,USP15,Myeloid,Yes
ClassicalMono.2,RAB11FIP1,Myeloid,Yes
ClassicalMono.2,ZNF106,Myeloid,No
ClassicalMono.2,EVI2B,Myeloid,Yes
ClassicalMono.2,UBA52,Myeloid,Yes
ClassicalMono.2,C19orf38,Myeloid,Yes
ClassicalMono.2,LTA4H,Myeloid,Yes
ClassicalMono.2,PKM,Myeloid,No
ClassicalMono.2,DMXL2,Myeloid,Yes
ClassicalMono.2,CYBB,Myeloid,No
ClassicalMono.2,CDC42EP3,Myeloid,Yes
ClassicalMono.2,SH3BGRL3,Myeloid,Yes
ClassicalMono.2,S100A10,Myeloid,Yes
ClassicalMono.2,LCP1,Myeloid,Yes
ClassicalMono.2,GNAI2,Myeloid,Yes
ClassicalMono.2,MYH9,Myeloid,Yes
ClassicalMono.2,IQGAP1,Myeloid,Yes
ClassicalMono.2,C14orf2,Myeloid,Yes
ClassicalMono.2,RTN3,Myeloid,Yes
ClassicalMono.2,RCSD1,Myeloid,Yes
ClassicalMono.2,FGR,Myeloid,Yes
ClassicalMono.2,RPL13A,Myeloid,Yes
ClassicalMono.2,TCEB2,Myeloid,Yes
ClassicalMono.2,TLN1,Myeloid,Yes
ClassicalMono.2,RPL37A,Myeloid,Yes
ClassicalMono.2,TYMP,Myeloid,Yes
ClassicalMono.2,GMFG,Myeloid,No
ClassicalMono.2,STXBP2,Myeloid,Yes
ClassicalMono.2,AP1S2,Myeloid,Yes
ClassicalMono.2,RPL27A,Myeloid,Yes
ClassicalMono.2,CRIP1,Myeloid,No
FN1_TAM,FN1,Myeloid,Yes
FN1_TAM,CLEC5A,Myeloid,Yes
FN1_TAM,OLR1,Myeloid,Yes
FN1_TAM,VSIG4,Myeloid,Yes
FN1_TAM,ALOX5AP,Myeloid,Yes
FN1_TAM,MARCO,Myeloid,Yes
FN1_TAM,FBP1,Myeloid,Yes
FN1_TAM,ALCAM,Myeloid,Yes
FN1_TAM,MRC1,Myeloid,No
FN1_TAM,YWHAH,Myeloid,Yes
FN1_TAM,ARHGAP18,Myeloid,Yes
FN1_TAM,BCAT1,Myeloid,Yes
FN1_TAM,MCEMP1,Myeloid,No
FN1_TAM,NPC2,Myeloid,Yes
FN1_TAM,GLUL,Myeloid,Yes
FN1_TAM,CAPG,Myeloid,No
FN1_TAM,CTSB,Myeloid,Yes
FN1_TAM,ENG,Myeloid,Yes
FN1_TAM,RETN,Myeloid,No
FN1_TAM,CD163,Myeloid,Yes
FN1_TAM,MIF,Myeloid,No
FN1_TAM,TREM2,Myeloid,Yes
FN1_TAM,CD81,Myeloid,Yes
FN1_TAM,MGAT4A,Myeloid,Yes
FN1_TAM,CD84,Myeloid,Yes
FN1_TAM,B3GNT5,Myeloid,Yes
FN1_TAM,DSE,Myeloid,Yes
FN1_TAM,THBS1,Myeloid,Yes
FN1_TAM,C15orf48,Myeloid,Yes
FN1_TAM,C3,Myeloid,Yes
FN1_TAM,LDHA,Myeloid,Yes
FN1_TAM,PLXDC2,Myeloid,Yes
FN1_TAM,SLC16A3,Myeloid,Yes
FN1_TAM,UPP1,Myeloid,Yes
FN1_TAM,VAMP8,Myeloid,Yes
FN1_TAM,FABP5,Myeloid,No
FN1_TAM,TGFBI,Myeloid,Yes
FN1_TAM,S100A11,Myeloid,Yes
FN1_TAM,CD9,Myeloid,Yes
FN1_TAM,EML4,Myeloid,Yes
FN1_TAM,SORL1,Myeloid,Yes
FN1_TAM,TREM1,Myeloid,Yes
FN1_TAM,PEA15,Myeloid,Yes
FN1_TAM,GPX1,Myeloid,Yes
FN1_TAM,LAPTM5,Myeloid,Yes
FN1_TAM,FCGR2B,Myeloid,Yes
FN1_TAM,ZNF331,Myeloid,Yes
FN1_TAM,TUBB,Myeloid,Yes
FN1_TAM,IFNGR1,Myeloid,No
FN1_TAM,ALOX5,Myeloid,No
FN1_TAM,LIMS1,Myeloid,Yes
FN1_TAM,CIB1,Myeloid,Yes
FN1_TAM,CALR,Myeloid,Yes
FN1_TAM,TUBA1B,Myeloid,Yes
FN1_TAM,HIF1A,Myeloid,Yes
FN1_TAM,THBD,Myeloid,Yes
FN1_TAM,PKM,Myeloid,No
FN1_TAM,TPM4,Myeloid,No
FN1_TAM,ENO1,Myeloid,Yes
FN1_TAM,PDIA6,Myeloid,No
FN1_TAM,KCTD12,Myeloid,Yes
FN1_TAM,AP2S1,Myeloid,Yes
FN1_TAM,TPI1,Myeloid,Yes
FN1_TAM,HSPB1,Myeloid,Yes
FN1_TAM,HSPA5,Myeloid,Yes
FN1_TAM,HSP90B1,Myeloid,Yes
FN1_TAM,EIF5A,Myeloid,Yes
FN1_TAM,JUN,Myeloid,Yes
FN1_TAM,GSTO1,Myeloid,Yes
FN1_TAM,ATP6V1F,Myeloid,No
FN1_TAM,SLC2A3,Myeloid,Yes
FN1_TAM,PPT1,Myeloid,Yes
FN1_TAM,RAC1,Myeloid,Yes
FN1_TAM,RAB31,Myeloid,Yes
FN1_TAM,HSP90AA1,Myeloid,Yes
FN1_TAM,ANXA5,Myeloid,Yes
FN1_TAM,PDIA3,Myeloid,No
FN1_TAM,VIM,Myeloid,Yes
FN1_TAM,RPLP0,Myeloid,Yes
FN1_TAM,GAPDH,Myeloid,Yes
FN1_TAM,ANXA2,Myeloid,Yes
FN1_TAM,STAT1,Myeloid,Yes
FN1_TAM,SLC11A1,Myeloid,Yes
FN1_TAM,SERPINA1,Myeloid,Yes
FN1_TAM,NME2,Myeloid,Yes
FN1_TAM,GRB2,Myeloid,Yes
FN1_TAM,HSPH1,Myeloid,Yes
FN1_TAM,SGK1,Myeloid,Yes
FN1_TAM,CYBB,Myeloid,No
FN1_TAM,LGALS1,Myeloid,Yes
FN1_TAM,S100A10,Myeloid,Yes
FN1_TAM,MT-ND5,Myeloid,No
FN1_TAM,PSME2,Myeloid,Yes
FN1_TAM,TYMP,Myeloid,Yes
FN1_TAM,PLAUR,Myeloid,Yes
FN1_TAM,PLIN2,Myeloid,Yes
FN1_TAM,BTG1,Myeloid,Yes
FN1_TAM,FOS,Myeloid,Yes
FN1_TAM,MT-ND4L,Myeloid,No
FN1_TAM,TIMP1,Myeloid,Yes
GPNMB_TAM,FTL,Myeloid,Yes
GPNMB_TAM,APOC1,Myeloid,Yes
GPNMB_TAM,GPNMB,Myeloid,Yes
GPNMB_TAM,SLC48A1,Myeloid,Yes
GPNMB_TAM,OTOA,Myeloid,No
GPNMB_TAM,CCL18,Myeloid,No
GPNMB_TAM,HMOX1,Myeloid,Yes
GPNMB_TAM,CTSD,Myeloid,Yes
GPNMB_TAM,LGMN,Myeloid,Yes
GPNMB_TAM,APOE,Myeloid,Yes
GPNMB_TAM,NUPR1,Myeloid,Yes
GPNMB_TAM,PRDX1,Myeloid,Yes
